,Brand,model,Year,kmDriven,Transmission,Owner,FuelType,AskPrice
0,Honda,City,2001,98000,Manual,second,Petrol,195000
1,Toyota,Innova,2009,190000,Manual,second,Diesel,375000
2,Volkswagen,VentoTest,2010,77246,Manual,first,Diesel,184999
3,Maruti Suzuki,Swift,2017,83500,Manual,second,Diesel,565000
4,Maruti Suzuki,Baleno,2019,45000,Automatic,first,Petrol,685000
5,BMW,X3,2014,83000,Automatic,first,Diesel,1350000
6,Toyota,Innova,2014,168000,Manual,second,Diesel,1025000
7,BMW,5 Series,2019,25000,Automatic,second,Diesel,5950000
8,Maruti Suzuki,maruti-suzuki-dzire,2020,33759,Manual,second,Petrol,622000
9,Ford,Ecosport,2017,69713,Manual,second,Petrol,649000
10,Maruti Suzuki,Alto-K10,2018,70000,Automatic,first,Petrol,395000
11,Kia,Carnival,2021,25000,Automatic,first,Diesel,2900000
12,Maruti Suzuki,Swift-Dzire,2012,72700,Manual,second,Petrol,240000
13,Toyota,Corolla,2007,121931,Automatic,second,Petrol,201350
14,Hyundai,Xcent,2018,130000,Manual,second,Diesel,330000
15,Kia,Seltos,2020,68000,Manual,first,Diesel,1045000
16,Maruti Suzuki,Ertiga,2016,65000,Manual,second,Diesel,785000
17,Maruti Suzuki,Ertiga,2017,59000,Automatic,second,Petrol,555000
18,BMW,3 Series GT,2015,61000,Automatic,second,Diesel,1500000
19,Ford,Endeavour,2019,77000,Automatic,second,Diesel,2399000
20,Toyota,Innova Crysta,2017,107000,Automatic,first,Diesel,1325000
21,Honda,City,2010,99000,Manual,first,Petrol,295000
22,Audi,A3,2015,42000,Automatic,second,Diesel,1050000
23,Renault,KWID,2019,48073,Automatic,second,Petrol,355000
24,MG,Hector,2019,32618,Automatic,first,Petrol,1250000
25,Maruti Suzuki,Swift-Dzire,2012,70000,Manual,second,Diesel,315000
26,Maruti Suzuki,Celerio,2014,51000,Automatic,second,Petrol,345000
27,Maruti Suzuki,Vitara-Brezza,2018,137000,Manual,first,Diesel,845000
28,Toyota,2.8 Legender 4X2,2023,1996,Automatic,first,Diesel,4195000
29,Toyota,Innova Crysta,2017,90000,Manual,second,Diesel,1950000
30,Toyota,Innova,2011,84000,Manual,second,Diesel,490000
31,Volvo,S90,2018,53000,Automatic,first,Diesel,2950000
32,Hyundai,Venue,2021,17000,Manual,first,Petrol,685000
33,Maruti Suzuki,Ertiga,2018,70000,Manual,second,Petrol,749000
34,Hyundai,Creta,2023,5000,Automatic,first,Petrol,1600000
35,Hyundai,Alcazar,2022,47110,Manual,second,Diesel,1695000
36,Hyundai,i20,2019,35000,Manual,first,Petrol,585000
37,Mercedes-Benz,E-Class,2019,101570,Automatic,first,Diesel,4200000
38,Volkswagen,Polo,2021,42000,Manual,second,Petrol,675000
39,Maruti Suzuki,Baleno,2018,30000,Manual,second,Petrol,630000
40,Hyundai,Verna,2016,82100,Manual,second,Diesel,465000
41,Audi,A4,2012,90000,Automatic,second,Diesel,899000
42,Toyota,Fortuner,2011,193000,Manual,second,Diesel,1125000
43,Mercedes-Benz,C-Class,2015,65000,Automatic,first,Diesel,1750000
44,Hyundai,Creta,2022,30000,Automatic,second,Petrol,1690000
45,Maruti Suzuki,Swift-Dzire,2020,94856,Manual,first,Petrol,690000
46,Skoda,Kushaq,2023,12000,Automatic,first,Petrol,1800000
47,Maruti Suzuki,Ciaz,2018,0,Manual,first,Petrol,500000
48,Tata,Safari,2010,500000,Manual,first,Diesel,800000
49,Toyota,Innova Crysta,2018,118000,Automatic,first,Diesel,1795000
50,Mercedes-Benz,C-Class,2016,41000,Automatic,second,Petrol,2000000
51,Honda,City,2010,79000,Manual,second,Petrol,290000
52,Honda,BRV,2016,103001,Manual,second,Diesel,555555
53,Hyundai,Creta,2017,70000,Manual,second,Petrol,765000
54,Renault,Duster,2018,130000,Manual,first,Diesel,690000
55,Maruti Suzuki,Wagon-R,2011,78000,Manual,second,Petrol,225000
56,Toyota,Fortuner,2017,115000,Automatic,second,Diesel,2390000
57,Mahindra,Bolero Power Plus,2017,160000,Manual,second,Diesel,550000
58,Hyundai,Eon,2017,27000,Manual,second,Petrol,300000
59,MG,Hector Plus,2020,81600,Automatic,first,Petrol,1021000
60,Hyundai,Creta,2017,54000,Automatic,first,Petrol,811000
61,Mahindra,XUV500,2018,76000,Manual,first,Diesel,1125000
62,Mercedes-Benz,GLS,2014,86000,Automatic,first,Diesel,3000000
63,Hyundai,i10,2011,65000,Manual,second,Petrol,115000
64,Mercedes-Benz,GLA Class,2018,60000,Automatic,second,Diesel,1450000
65,Kia,Carens,2023,24000,Manual,first,Petrol,1225000
66,Toyota,Innova,2011,100231,Manual,second,Diesel,429101
67,Maruti Suzuki,Ignis,2023,13000,Manual,second,Petrol,610000
68,Hyundai,Grand i10,2017,47000,Manual,first,Petrol,519999
69,Hyundai,Getz Prime,2007,115031,Manual,second,Petrol,140000
70,Maruti Suzuki,Swift,2014,67000,Manual,first,Petrol,280000
71,Hyundai,Xcent,2016,74500,Manual,first,Diesel,425000
72,Honda,City,2016,93000,Automatic,second,Petrol,575000
73,Maruti Suzuki,Ritz,2015,59000,Manual,first,Petrol,295000
74,Toyota,Innova Crysta,2017,79000,Automatic,second,Diesel,1725000
75,Hyundai,Verna,2022,69000,Automatic,first,Diesel,1250000
76,Hyundai,Creta,2015,76000,Automatic,second,Diesel,650000
77,Kia,Sonet,2020,34500,Automatic,first,Petrol,935000
78,Ford,Ecosport,2016,130000,Manual,second,Diesel,400000
79,Mahindra,Scorpio-N,2023,15905,Automatic,first,Diesel,2350000
80,Toyota,Innova Crysta,2021,21000,Manual,first,Diesel,2125000
81,Mini,Cooper 3 DOOR,2019,13000,Automatic,first,Petrol,3950000
82,Maruti Suzuki,Ertiga,2015,75000,Manual,first,Diesel,435000
83,Volkswagen,Polo,2012,80000,Manual,second,Diesel,300000
84,Maruti Suzuki,Wagon-R,2016,50000,Manual,first,Petrol,245000
85,Tata,Nexon,2022,40000,Automatic,second,Petrol,680000
